"","Country","% of population by age[1]","% of population by age[1]","% of population by age[1]"
"128","Mali","47.05%","49.88%","3.07%"
"129","Malta","14.53%","62.83%","22.65%"
"130","Marshall Islands","30.65%","63.83%","5.52%"
"131","Mauritania","36.11%","59.58%","4.31%"
"132","Mauritius","15.30%","71.35%","13.36%"
"133","Mexico","23.76%","68.22%","8.02%"
"134","Federated States of Micronesia","27.41%","67.13%","5.46%"
"135","Moldova","18.01%","66.37%","15.62%"
"136","Monaco","9.40%","54.42%","36.18%"
"137","Mongolia","26.16%","68.24%","5.60%"
"138","Montenegro","17.93%","64.65%","17.42%"
"139","Montserrat","15.92%","76.60%","7.48%"
"140","Morocco","26.01%","65.92%","8.06%"
"141","Mozambique","45.00%","52.10%","2.90%"
"142","Myanmar","24.89%","68.30%","6.80%"
"143","Namibia","34.38%","61.68%","3.94%"
"144","Nauru","30.13%","65.65%","4.22%"
"145","Nepal","26.32%","67.52%","6.16%"
"146","Netherlands","16.06%","63.08%","20.86%"
"147","New Caledonia","20.96%","68.45%","10.59%"
"148","New Zealand","19.15%","64.36%","16.49%"
"149","Nicaragua","24.16%","69.36%","6.48%"
"150","Niger","49.70%","47.60%","2.70%"
"151","Nigeria","40.69%","55.95%","3.36%"
"152","North Macedonia","16.06%","68.69%","15.25%"
"153","Northern Mariana Islands","22.61%","67.95%","9.43%"
"154","Norway","17.83%","64.00%","18.18%"
"155","Oman","29.88%","66.17%","3.95%"
"156","Pakistan","34.81%","60.41%","4.77%"
"157","Palau","17.49%","71.82%","10.69%"
"158","Panama","25.19%","64.87%","9.94%"
"159","Papua New Guinea","37.34%","58.75%","3.90%"
"160","Paraguay","22.40%","68.54%","9.06%"
"161","Peru","26.04%","65.94%","8.02%"
"162","Philippines","30.49%","64.06%","5.45%"
"163","Poland","14.53%","64.87%","20.60%"
"164","Portugal","12.85%","65.18%","21.96%"
"165","Puerto Rico (US)","12.84%","62.98%","24.18%"
"166","Qatar","13.08%","85.51%","1.41%"
"167","Romania","15.63%","62.13%","22.24%"
"168","Russia","16.86%","65.99%","17.15%"
"169","Rwanda","37.95%","59.10%","2.95%"
"170","Saint Barthelemy","14.10%","63.80%","22.11%"
"171","Saint Helena, Ascension, and Tristan da Cunha","14.48%","66.87%","18.65%"
"172","Saint Kitts and Nevis","19.40%","68.54%","12.05%"
"173","Saint Lucia","18.23%","66.97%","14.80%"
"174","Saint Martin","24.90%","64.65%","10.45%"
"175","Saint Pierre and Miquelon","13.42%","61.98%","24.60%"
"176","Saint Vincent and the Grenadines","19.05%","68.55%","12.40%"
"177","Samoa","27.33%","65.72%","6.94%"
"178","San Marino","14.34%","64.58%","21.08%"
"179","São Tomé and Príncipe","37.21%","59.64%","3.15%"
"180","Saudi Arabia","23.45%","72.36%","4.19%"
"181","Senegal","41.19%","55.46%","3.34%"
"182","Serbia","14.45%","65.81%","19.74%"
"183","Seychelles","17.95%","72.58%","9.47%"
"184","Sierra Leone","40.54%","56.89%","2.58%"
"185","Singapore","14.82%","71.49%","13.70%"
"186","Sint Maarten","18.52%","67.18%","14.29%"
"187","Slovakia","14.87%","66.49%","18.64%"
"188","Slovenia","14.55%","62.73%","22.72%"
"189","Solomon Islands","31.06%","63.82%","5.12%"
"190","Somalia","41.54%","55.77%","2.69%"
"191","South Africa","27.29%","66.17%","6.54%"
"192","South Sudan","41.93%","55.48%","2.59%"
"193","Spain","13.37%","66.13%","20.50%"
"194","Sri Lanka","21.95%","66.22%","11.83%"
"195","Sudan","40.47%","56.35%","3.19%"
"196","Suriname","22.77%","69.96%","7.27%"
"197","Sweden","17.26%","62.05%","20.69%"
"198","Switzerland","15.49%","65.13%","19.38%"
"199","Syria","33.27%","62.58%","4.15%"
